타임스탬프,소속단과대학,소속학과/학부,현재 학년,성별,군필여부,현 주거지,전반적 만족도 [대학생활에 대해 어느정도 만족하십니까?],전반적 만족도 [대학에서 제공하는 교육서비스에 대해 전반적으로 만족하십니까?],교육과정 만족도 [1. 전공교육은 내가 기대한 수준의 전문지식을 제공한다.],교육과정 만족도 [2. 전공교육은 전공기초(핵심) 및 심화교과목이 단계적으로 구성되어 있다.],교육과정 만족도 [3. 전공교육은 이론과 실험ㆍ실습 및 실기 교과목이 균형 있게 구성되어 있다.],교육과정 만족도 [4. 전공교육의 강좌 당 학생 수는 적절하다.],교육과정 만족도 [5. 전공교육은 복수전공 및 부전공 등의 이수 기회를 적절하게 제공한다.],교육과정 만족도 [6. 전공교육은 자격증 취득(자격증이 있는 경우)과 취업준비를 위한 전문성 향상에 도움이 된다.],교육과정 만족도 [7. 전공수업은 전반적으로 만족스럽다.],교육과정 만족도 [8. 교양교육 강좌가 다양하게 개설되어 있다.],교육과정 만족도 [9. 교양교육 강좌 당 학생 수는 적절하다.],교육과정 만족도 [10. 교양수업은 전반적으로 만족스럽다.],교육과정 만족도 [11. 교양교육은 문제해결 능력을 향상시키는 데 도움이 된다.],교육과정 만족도 [12. 비교과 프로그램은 진로 탐색 및 취업 준비에 도움이 된다.],교육과정 만족도 [13. 비교과 프로그램은 전반적으로 만족스럽다.],대학구성원-교육서비스 만족도  [1. 우리 대학 교수진은 학생들의 실력향상을 위해 최선을 다한다.],대학구성원-교육서비스 만족도  [2. 우리 대학 교수진의 진로지도에 대해 만족한다.],"대학구성원-교육서비스 만족도  [3. 학생회(총학생회, 단대학생회, 과학생회) 운영과 활동에 대해 만족한다.]","대학구성원-교육서비스 만족도  [4. 학생회(총학생회, 단대학생회, 과학생회) 에서 주관하는 활동에 적극적으로 참여하는 편이다.]",대학구성원-교육서비스 만족도  [5. 나는 우리 대학에 대해 자랑스럽게 생각한다.],대학구성원-교육서비스 만족도  [6. 나는 우리 대학을 주변사람들에게 추천하고 싶다.],대학구성원-교육서비스 만족도  [7. 나는 우리 대학의 발전가능성이 높다고 생각한다.],대학구성원-교육서비스 만족도  [8. 진로 및 취업상담에 관한 다양한 정보가 학생들에게 제공된다.],대학구성원-교육서비스 만족도  [9. 나는 우리 대학의 진로취업지원에 대하여 전반적으로 만족한다.],"대학구성원-교육서비스 만족도  [10. 나는 우리 대학의 학사행정(수강신청, 휴복학, 전과제도 등)에 관한 정보 제공에 만족한다.]",대학구성원-교육서비스 만족도  [11. 나는 학생상담센터의 프로그램 및 서비스에 전반적으로 만족한다.],대학구성원-교육서비스 만족도  [12. 나는 교수학습센터의 프로그램 및 서비스에 전반적으로 만족한다.],"대학구성원-교육서비스 만족도  [13. 교직원(조교, 행정부서 직원 등)은 신속하게 업무 대처를 한다.]",교육환경-복지 만족도 [1. 나는 교내식당 메뉴 및 요금에 대해 만족한다.],"교육환경-복지 만족도 [2. 나는 매점(편의점, 커피숍), 복사실, 서점 등 편의시설에 대해 만족한다]","교육환경-복지 만족도 [3. 스터디룸, 학회실, 동아리방 등 학생들 활동공간은 충분하다.]",교육환경-복지 만족도 [4. 나는 다양한 장학금 제도(국가장학금 제외)에 대해 만족한다.],교육환경-복지 만족도 [5. 나는 강의실에 대해서 전반적으로 만족한다.],교육환경-복지 만족도 [6. 실험ㆍ실습실의 기자재 수나 상태에 대해 만족한다.],교육환경-복지 만족도 [7. 실험ㆍ실습 환경에 대해서 전반적으로 만족한다.],교육환경-복지 만족도 [8. 도서관은 수업 및 학습에 필요한 자료를 충분히 제공한다.],교육환경-복지 만족도 [9. 나는 우리 대학의 도서관 서비스에 전반적으로 만족한다.],교육환경-복지 만족도 [10. 교내에서 와이파이 및 인터넷 이용이 원활하다.],교육환경-복지 만족도 [11. 수원대학교 홈페이지는 메뉴 구성과 정보탐색이 편리하다.],교육환경-복지 만족도 [12. 우리 대학의 교수학습지원시스템 및 캔버스에 대해 만족한다.]
2024. 5. 13 오후 4:41:00,인문사회융합대학,영어영문학과,2학년,남,군필,경기기타,보통이다,보통이다,매우 그렇다,매우 그렇다,보통이다,매우 그렇다,매우 그렇다,보통이다,매우 그렇다,대체로 그렇지 않다,대체로 그렇지 않다,대체로 그렇지 않다,대체로 그렇지 않다,대체로 그렇지 않다,대체로 그렇지 않다,대체로 그렇다,대체로 그렇다,보통이다,보통이다,대체로 그렇다,보통이다,보통이다,보통이다,보통이다,보통이다,보통이다,보통이다,보통이다,보통이다,보통이다,대체로 그렇지 않다,대체로 그렇다,대체로 그렇다,보통이다,보통이다,보통이다,보통이다,대체로 그렇지 않다,대체로 그렇지 않다,보통이다
2024. 5. 13 오후 4:43:08,인문사회융합대학,영어영문학과,2학년,남,군필,"성남,용인",대체로 그렇다,대체로 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,보통이다,보통이다,보통이다,대체로 그렇다,매우 그렇다,보통이다,보통이다,보통이다,보통이다,보통이다,대체로 그렇다,대체로 그렇다,보통이다,보통이다,보통이다,보통이다,대체로 그렇다,보통이다,보통이다,대체로 그렇지 않다,보통이다,보통이다,보통이다,보통이다,보통이다,보통이다,보통이다,대체로 그렇다,보통이다,보통이다,보통이다,보통이다,대체로 그렇지 않다,보통이다,보통이다
2024. 5. 14 오후 12:51:34,인문사회융합대학,러시아어문학과,2학년,여,미필,"성남,용인",대체로 그렇지 않다,대체로 그렇지 않다,대체로 그렇지 않다,대체로 그렇지 않다,대체로 그렇지 않다,전혀 그렇지 않다,대체로 그렇지 않다,전혀 그렇지 않다,대체로 그렇지 않다,대체로 그렇지 않다,전혀 그렇지 않다,대체로 그렇지 않다,전혀 그렇지 않다,대체로 그렇지 않다,대체로 그렇지 않다,대체로 그렇지 않다,대체로 그렇지 않다,보통이다,보통이다,전혀 그렇지 않다,전혀 그렇지 않다,전혀 그렇지 않다,전혀 그렇지 않다,전혀 그렇지 않다,전혀 그렇지 않다,전혀 그렇지 않다,전혀 그렇지 않다,전혀 그렇지 않다,전혀 그렇지 않다,대체로 그렇지 않다,전혀 그렇지 않다,전혀 그렇지 않다,전혀 그렇지 않다,전혀 그렇지 않다,전혀 그렇지 않다,보통이다,보통이다,전혀 그렇지 않다,전혀 그렇지 않다,전혀 그렇지 않다
2024. 5. 14 오후 1:01:23,인문사회융합대학,러시아어문학과,2학년,남,미필,"수원,화성",보통이다,보통이다,대체로 그렇다,보통이다,보통이다,보통이다,보통이다,대체로 그렇다,대체로 그렇다,보통이다,대체로 그렇지 않다,보통이다,대체로 그렇지 않다,보통이다,대체로 그렇다,대체로 그렇다,보통이다,보통이다,대체로 그렇지 않다,보통이다,보통이다,보통이다,대체로 그렇다,대체로 그렇지 않다,보통이다,대체로 그렇다,대체로 그렇다,보통이다,보통이다,대체로 그렇지 않다,보통이다,대체로 그렇다,보통이다,대체로 그렇지 않다,보통이다,보통이다,보통이다,대체로 그렇지 않다,대체로 그렇다,보통이다
2024. 5. 14 오후 1:11:55,인문사회융합대학,러시아어문학과,2학년,남,미필,"수원,화성",대체로 그렇다,대체로 그렇다,대체로 그렇다,대체로 그렇다,보통이다,보통이다,대체로 그렇다,대체로 그렇다,대체로 그렇다,대체로 그렇다,보통이다,대체로 그렇다,대체로 그렇다,대체로 그렇지 않다,대체로 그렇지 않다,매우 그렇다,매우 그렇다,보통이다,전혀 그렇지 않다,보통이다,대체로 그렇지 않다,보통이다,보통이다,보통이다,대체로 그렇다,보통이다,보통이다,대체로 그렇다,매우 그렇다,매우 그렇다,보통이다,보통이다,대체로 그렇다,대체로 그렇다,대체로 그렇다,보통이다,대체로 그렇지 않다,대체로 그렇지 않다,대체로 그렇다,대체로 그렇다
2024. 5. 14 오후 1:21:30,인문사회융합대학,러시아어문학과,2학년,여,미필,"수원,화성",대체로 그렇지 않다,대체로 그렇지 않다,대체로 그렇지 않다,대체로 그렇지 않다,대체로 그렇지 않다,전혀 그렇지 않다,전혀 그렇지 않다,전혀 그렇지 않다,전혀 그렇지 않다,대체로 그렇지 않다,대체로 그렇다,대체로 그렇다,대체로 그렇지 않다,대체로 그렇다,대체로 그렇다,대체로 그렇지 않다,전혀 그렇지 않다,전혀 그렇지 않다,전혀 그렇지 않다,전혀 그렇지 않다,전혀 그렇지 않다,전혀 그렇지 않다,전혀 그렇지 않다,전혀 그렇지 않다,전혀 그렇지 않다,전혀 그렇지 않다,전혀 그렇지 않다,전혀 그렇지 않다,전혀 그렇지 않다,대체로 그렇지 않다,대체로 그렇다,매우 그렇다,대체로 그렇다,보통이다,대체로 그렇지 않다,대체로 그렇다,대체로 그렇다,전혀 그렇지 않다,보통이다,대체로 그렇다
2024. 5. 14 오후 1:27:51,인문사회융합대학,러시아어문학과,2학년,남,미필,"수원,화성",대체로 그렇다,대체로 그렇다,대체로 그렇다,매우 그렇다,대체로 그렇다,대체로 그렇지 않다,대체로 그렇다,보통이다,대체로 그렇다,매우 그렇다,보통이다,보통이다,대체로 그렇다,보통이다,보통이다,대체로 그렇다,대체로 그렇다,대체로 그렇다,대체로 그렇다,보통이다,대체로 그렇지 않다,대체로 그렇다,대체로 그렇다,대체로 그렇다,대체로 그렇다,대체로 그렇다,대체로 그렇다,대체로 그렇다,보통이다,대체로 그렇다,보통이다,보통이다,보통이다,보통이다,보통이다,대체로 그렇다,대체로 그렇다,전혀 그렇지 않다,보통이다,대체로 그렇다
2024. 5. 14 오후 1:36:07,인문사회융합대학,러시아어문학과,2학년,남,미필,경기기타,대체로 그렇다,대체로 그렇다,매우 그렇다,대체로 그렇다,보통이다,보통이다,보통이다,매우 그렇다,매우 그렇다,대체로 그렇다,매우 그렇다,매우 그렇다,보통이다,보통이다,보통이다,대체로 그렇다,보통이다,보통이다,대체로 그렇다,보통이다,대체로 그렇지 않다,보통이다,대체로 그렇다,보통이다,대체로 그렇다,보통이다,보통이다,대체로 그렇다,대체로 그렇지 않다,대체로 그렇다,보통이다,대체로 그렇다,대체로 그렇지 않다,보통이다,보통이다,대체로 그렇다,대체로 그렇다,대체로 그렇지 않다,보통이다,보통이다
2024. 5. 14 오후 1:40:27,인문사회융합대학,러시아어문학과,2학년,여,미필,"수원,화성",보통이다,보통이다,보통이다,보통이다,대체로 그렇지 않다,대체로 그렇지 않다,대체로 그렇지 않다,보통이다,보통이다,보통이다,보통이다,보통이다,보통이다,보통이다,보통이다,보통이다,대체로 그렇지 않다,보통이다,대체로 그렇지 않다,대체로 그렇지 않다,대체로 그렇지 않다,대체로 그렇지 않다,대체로 그렇다,대체로 그렇다,보통이다,보통이다,대체로 그렇지 않다,대체로 그렇지 않다,대체로 그렇지 않다,보통이다,대체로 그렇지 않다,대체로 그렇지 않다,대체로 그렇지 않다,대체로 그렇지 않다,대체로 그렇지 않다,보통이다,보통이다,전혀 그렇지 않다,전혀 그렇지 않다,전혀 그렇지 않다
2024. 5. 14 오후 1:44:03,인문사회융합대학,러시아어문학과,2학년,여,미필,"수원,화성",매우 그렇다,대체로 그렇다,대체로 그렇다,대체로 그렇다,보통이다,매우 그렇다,매우 그렇다,대체로 그렇다,대체로 그렇다,대체로 그렇다,대체로 그렇다,대체로 그렇다,대체로 그렇다,대체로 그렇다,대체로 그렇다,대체로 그렇다,대체로 그렇다,매우 그렇다,매우 그렇다,보통이다,보통이다,대체로 그렇지 않다,보통이다,보통이다,보통이다,보통이다,보통이다,보통이다,대체로 그렇다,대체로 그렇다,보통이다,보통이다,보통이다,대체로 그렇지 않다,대체로 그렇지 않다,보통이다,보통이다,보통이다,보통이다,보통이다
2024. 5. 14 오후 1:47:21,인문사회융합대학,러시아어문학과,2학년,여,미필,"수원,화성",대체로 그렇다,대체로 그렇다,매우 그렇다,매우 그렇다,보통이다,매우 그렇다,매우 그렇다,보통이다,대체로 그렇다,보통이다,대체로 그렇다,대체로 그렇지 않다,대체로 그렇지 않다,대체로 그렇지 않다,대체로 그렇지 않다,대체로 그렇다,대체로 그렇다,매우 그렇다,매우 그렇다,보통이다,보통이다,보통이다,보통이다,보통이다,대체로 그렇다,보통이다,보통이다,전혀 그렇지 않다,전혀 그렇지 않다,전혀 그렇지 않다,전혀 그렇지 않다,대체로 그렇다,전혀 그렇지 않다,전혀 그렇지 않다,전혀 그렇지 않다,매우 그렇다,매우 그렇다,전혀 그렇지 않다,대체로 그렇지 않다,대체로 그렇지 않다
2024. 5. 14 오후 1:52:49,인문사회융합대학,러시아어문학과,2학년,여,미필,"성남,용인",보통이다,보통이다,대체로 그렇다,보통이다,보통이다,보통이다,보통이다,대체로 그렇다,대체로 그렇다,대체로 그렇다,보통이다,보통이다,대체로 그렇지 않다,대체로 그렇다,대체로 그렇다,대체로 그렇다,보통이다,보통이다,대체로 그렇지 않다,대체로 그렇지 않다,대체로 그렇지 않다,보통이다,보통이다,대체로 그렇지 않다,보통이다,대체로 그렇다,대체로 그렇다,보통이다,보통이다,보통이다,보통이다,대체로 그렇다,보통이다,대체로 그렇지 않다,보통이다,보통이다,보통이다,전혀 그렇지 않다,대체로 그렇다,대체로 그렇다
2024. 5. 15 오후 12:38:16,음악테크놀로지대학,작곡과,2학년,여,미필,기숙사,대체로 그렇다,대체로 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,보통이다,보통이다,대체로 그렇지 않다,매우 그렇다,보통이다,보통이다,보통이다,대체로 그렇지 않다,대체로 그렇지 않다,대체로 그렇지 않다,대체로 그렇다,매우 그렇다,대체로 그렇지 않다,대체로 그렇지 않다,보통이다,보통이다,보통이다,대체로 그렇다,보통이다,대체로 그렇다,대체로 그렇다,대체로 그렇다,보통이다,보통이다,매우 그렇다,보통이다,매우 그렇다,보통이다,대체로 그렇지 않다,대체로 그렇지 않다,매우 그렇다,대체로 그렇다,매우 그렇다,대체로 그렇다,보통이다
2024. 5. 15 오후 12:39:40,음악테크놀로지대학,작곡과,2학년,여,미필,"수원,화성",매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,대체로 그렇지 않다,대체로 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,보통이다,매우 그렇다,보통이다,대체로 그렇지 않다,대체로 그렇지 않다,매우 그렇다,매우 그렇다,보통이다,전혀 그렇지 않다,보통이다,보통이다,대체로 그렇지 않다,보통이다,보통이다,매우 그렇다,보통이다,보통이다,대체로 그렇지 않다,대체로 그렇다,보통이다,대체로 그렇다,대체로 그렇다,보통이다,대체로 그렇다,대체로 그렇다,보통이다,보통이다,보통이다,매우 그렇다,매우 그렇다
2024. 5. 15 오후 12:40:50,음악테크놀로지대학,작곡과,2학년,여,미필,"수원,화성",대체로 그렇다,대체로 그렇다,대체로 그렇다,대체로 그렇다,대체로 그렇다,대체로 그렇지 않다,보통이다,대체로 그렇다,대체로 그렇다,보통이다,대체로 그렇다,보통이다,대체로 그렇다,보통이다,보통이다,대체로 그렇다,대체로 그렇다,보통이다,대체로 그렇지 않다,대체로 그렇다,보통이다,보통이다,보통이다,보통이다,보통이다,대체로 그렇다,대체로 그렇다,보통이다,대체로 그렇지 않다,보통이다,대체로 그렇지 않다,대체로 그렇다,대체로 그렇다,대체로 그렇다,대체로 그렇다,대체로 그렇다,대체로 그렇다,대체로 그렇다,매우 그렇다,대체로 그렇다
2024. 5. 15 오후 12:42:46,음악테크놀로지대학,작곡과,2학년,남,미필,기숙사,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,보통이다,보통이다,보통이다,매우 그렇다,대체로 그렇다,대체로 그렇다,보통이다,보통이다,보통이다,보통이다,매우 그렇다,매우 그렇다,매우 그렇다,매우 그렇다,보통이다,보통이다,대체로 그렇다,대체로 그렇다,대체로 그렇다,대체로 그렇다,보통이다,대체로 그렇다,보통이다,대체로 그렇지 않다,대체로 그렇다,대체로 그렇다,대체로 그렇다,대체로 그렇다,대체로 그렇다,대체로 그렇다,대체로 그렇다,대체로 그렇다,대체로 그렇지 않다,보통이다,대체로 그렇다
